idShot,goal,x,y,lastName
20190200014,1,85,-1,Andersen
20190200029,1,82,5,Holtby
20190200036,0,73,-24,Smith
20190200039,0,52,-38,Markstrom
20190200057,0,13,-34,Vasilevskiy
20190200069,0,66,-22,Lundqvist
20190200079,0,58,6,Hutton
20190200094,0,56,28,Dubnyk
20190200095,0,77,11,Dubnyk
20190200105,1,65,30,Bishop
20190200109,0,67,11,Rask
20190200118,0,82,-26,Rittich
20190200136,0,48,22,Schneider
20190200165,0,53,-29,Hart
20190200198,0,81,2,Hutchinson
20190200204,0,1,7,Georgiev
20190200207,0,48,-37,Georgiev
20190200239,0,-87,28,Reimer
20190200245,1,68,-17,Bishop
20190200259,0,73,3,Howard
20190200265,0,85,-23,Grubauer
20190200268,0,82,-8,Dubnyk
20190200277,0,74,7,Kuemper
20190200285,0,57,-22,Rittich
20190200319,1,39,-22,McElhinney
20190200324,0,74,6,Bernier
20190200326,0,47,-12,Bernier
20190200347,0,35,-21,Andersen
20190200356,0,74,-10,Ullmark
20190200364,0,33,-40,Reimer
20190200377,0,-67,-7,Koskinen
20190200387,1,81,1,Hellebuyck
20190200397,0,32,34,Bishop
20190200404,0,61,-35,Howard
20190200408,0,74,6,Gibson
20190200418,0,64,-37,Jones
20190200419,0,72,22,Rinne
20190200424,0,50,14,Rittich
20190200426,0,74,32,Rittich
20190200449,0,63,-15,Hutton
20190200465,0,42,-37,Markstrom
20190200466,0,84,-6,Markstrom
20190200478,0,15,-30,Andersen
20190200487,0,27,28,Bernier
20190200505,0,65,-3,Murray
20190200509,0,37,-27,Gibson
20190200527,0,72,34,Holtby
20190200535,0,33,31,Hellebuyck
20190200547,0,65,22,Crawford
20190200554,0,63,29,Bishop
20190200558,0,58,-23,Bishop
20190200559,0,35,-2,Bishop
20190200568,0,3,-4,Grubauer
20190200577,0,54,-18,Subban
20190200578,0,77,4,Subban
20190200579,0,51,-26,Kuemper
20190200599,0,76,30,Miller
20190200608,0,39,-35,Greiss
20190200616,0,59,-14,Smith
20190200644,0,83,-18,Schneider
20190200665,0,70,-37,Howard
20190200676,0,79,21,Varlamov
20190200684,0,59,23,Reimer
20190200685,0,49,-8,Korpisalo
20190200687,0,44,-19,Reimer
20190200688,0,-28,28,Reimer
20190200697,0,72,23,Lehner
20190200698,0,44,-7,Lehner
20190200699,0,56,-29,Hellebuyck
20190200716,0,38,-23,Murray
20190200724,0,35,34,Francouz
20190200729,0,52,-21,Francouz
20190200735,0,57,-25,Hart
20190200749,0,71,7,Rittich
20190200757,0,53,8,Jarry
20190200768,0,61,17,Fleury
20190200769,0,80,3,Fleury
20190200779,0,13,-28,Jones
20190200797,0,64,12,Stalock
20190200806,1,84,4,Schneider
20190200808,0,35,15,Schneider
20190200818,0,82,-23,Binnington
20190200824,0,56,-7,Bishop
20190200828,0,80,5,Hutton
20190200838,0,72,-17,Grubauer
20190200844,0,57,-7,Smith
20190200858,0,82,-1,Dubnyk
20190200887,0,42,-13,Elliott
20190200895,1,80,2,Demko
20190200924,0,69,-15,Murray
20190200925,0,67,21,Grubauer
20190200927,0,-43,15,Murray
20190200939,0,64,-30,Hutchinson
20190200945,0,79,11,Bishop
20190200977,0,74,-1,Reimer
20190200984,0,71,33,Rask
20190200985,0,44,-31,Rask
20190200996,0,89,-30,Stalock
20190201004,0,62,-29,Blackwood
20190201006,0,61,-3,Blackwood
20190201018,0,62,-11,Binnington
20190201028,0,62,2,Varlamov
20190201029,0,37,-14,Hellebuyck
20190201037,0,57,-18,Rittich
20190201058,0,15,0,Nilsson
20190201065,0,-37,-30,Hutton
20190201066,0,41,-25,Campbell
20190201076,0,68,-11,Grubauer
20190201078,0,74,-9,Grubauer
20190201084,0,76,3,Khudobin
20190201095,0,53,-26,Holtby
20190201108,0,76,4,Merzlikins
20190201109,0,83,-16,Lehner
20190201117,0,52,-19,Bernier
20190201118,0,54,3,Bernier
20190201119,0,55,-32,Koskinen
20190201125,0,74,-39,Mrazek
20190201129,0,65,22,Miller
20190201145,0,70,11,Price
20190201149,0,59,24,Allen
20190201159,0,34,-34,Andersen
20190201169,0,35,-21,Francouz
20190201179,0,30,39,Hart
20190201184,0,42,18,Jarry
20190201185,0,81,7,Jarry
20190201195,0,72,-12,Korpisalo
20190201199,0,54,13,Korpisalo
20190201208,0,36,28,Raanta
20190201215,0,65,-33,Montembeault
20190201227,1,71,-11,Rittich
20190201245,0,82,3,Markstrom
20190201247,0,78,-3,Markstrom
20190201248,0,44,26,Markstrom
20190201254,0,49,-35,Dubnyk
20190201266,0,28,30,Crawford
20190201275,0,56,1,Hellebuyck
20190201284,0,83,29,Gibson
20190201299,0,34,-37,Korpisalo
20190201305,0,35,28,Dansk
20190201318,0,88,8,Grubauer
20190201319,0,80,-3,Binnington
20190201337,0,72,-8,Rask
20190201347,0,83,7,Jones
20190201348,0,83,-5,Jones
20190201355,0,43,25,Murray
20190201356,0,69,-17,Bobrovsky
20190201376,0,39,-29,Howard
20190201385,0,36,30,Gibson
20190201386,0,75,4,Gibson
20190201394,0,52,9,Dubnyk
20190201395,0,32,38,Dubnyk
20190201399,0,58,-20,Dubnyk
20190201418,0,61,15,Lehner
20190201427,0,67,-17,Talbot
20190201429,0,35,17,Talbot
20190201439,0,84,8,Bernier
20190201446,0,35,12,Vasilevskiy
20190201448,0,9,3,Jarry
20190201486,0,65,0,Korpisalo
20190201494,0,41,23,Binnington
20190201495,0,68,13,Binnington
20190201504,0,62,33,Rinne
20190201514,0,61,-1,Lehner
20190201516,0,70,3,Elliott
20190201517,0,85,6,Elliott
20190201535,0,75,-26,Rittich
20190201539,0,80,2,Bobrovsky
20190201546,0,6,10,Koskinen
20190201554,0,47,-30,Fleury
20190201557,1,64,8,Fleury
20190201567,0,85,-20,Jones
20190201578,0,41,-31,Blackwood
20190201588,0,41,-30,Nilsson
20190201589,0,43,13,Greiss
20190201597,0,40,32,Ullmark
20190201606,0,55,-17,Samsonov
20190201619,0,86,9,Crawford
20190201624,0,46,-30,Binnington
20190201627,0,33,-31,Binnington
20190201628,0,85,-8,Binnington
20190201635,0,69,-25,Hutchinson
20190201638,0,40,27,Hutchinson
20190201648,0,48,-11,McElhinney
20190201667,0,-13,-29,Bishop
20190201675,0,44,30,Quick
20190201678,0,9,-34,Stalock
20190201686,0,71,1,Hellebuyck
20190201687,0,66,22,Hellebuyck
20190201688,0,81,2,Hellebuyck
20190201696,1,58,6,Francouz
20190201706,0,60,-6,Smith
20190201707,0,61,-37,Smith
20190201717,0,79,-8,Binnington
20190201729,0,51,-38,Anderson
20190201737,0,41,23,Hart
20190201749,0,64,12,Lundqvist
20190201768,0,-32,-39,Gibson
20190201774,0,81,0,Kuemper
20190201779,0,63,-4,Kuemper
20190201784,0,78,-10,Demko
20190201785,0,52,-21,Demko
20190201789,1,69,-4,Montembeault
20190201794,0,70,-1,Jones
20190201807,1,72,10,Holtby
20190201816,0,35,32,Georgiev
20190201824,0,75,27,Elliott
20190201825,0,62,-9,Elliott
20190201827,0,17,-14,Elliott
20190201834,0,41,36,Rittich
20190201837,0,47,-2,Rittich
20190201846,0,41,19,Koskinen
20190201854,0,42,3,Lehner
20190201857,0,81,-16,Lehner
20190201864,0,68,-31,Stalock
20190201867,1,78,-3,Bishop
20190201878,1,75,-8,Gibson
20190201906,0,67,-2,Binnington
20190201926,1,84,-5,Raanta
20190201929,0,40,-25,Price
20190201938,0,57,-19,Quick
20190201946,0,63,-33,Rittich
20190201949,0,56,25,Rittich
20190201996,0,49,40,Mrazek
20190201999,0,63,38,Mrazek
20190202007,0,69,-3,Binnington
20190202008,0,85,-21,Binnington
20190202028,0,50,-28,Gibson
20190202044,0,66,3,Smith
20190202045,0,80,6,Smith
20190202047,0,74,-2,Murray
20190202057,0,78,-1,Georgiev
20190202065,0,47,-29,Anderson
20190202075,0,42,17,Varlamov
20190202076,0,83,3,Varlamov
20190202079,0,33,34,Hutton
20190202097,0,36,-26,Elliott
20190202108,0,48,35,Blackwood
20190202115,0,51,17,Korpisalo
20190202118,0,38,21,Rittich
20190202124,0,35,33,Bishop
20190202134,0,17,38,Allen
20190202138,0,45,0,Allen
20190202159,0,61,14,Brossoit
20190202164,0,-21,-31,Dell
20190202166,0,88,5,Demko
20190202194,0,46,-29,Miller
20190202199,0,19,14,Lehner
20190202205,0,60,7,Murray
20190202207,0,85,13,Murray
20190202209,0,52,-24,Murray
20190202218,0,47,25,Nilsson
20190202238,1,82,2,Kuemper
20190202247,0,5,2,Rask
20190202248,0,66,7,Price
20190202259,0,42,-25,Greiss
20190202267,0,77,-33,Hart
20190202268,0,33,-37,Hart
20190202276,0,63,14,Fleury
20190202278,0,51,27,Korpisalo
20190202279,0,42,-23,Korpisalo
20190202289,0,44,27,Quick
20190202306,1,73,-15,Grubauer
20190202324,0,69,18,Binnington
20190202359,0,40,-3,Lundqvist
20190202365,0,-62,-35,Smith
20190202367,0,43,28,Smith
20190202385,0,37,-31,Bobrovsky
20190202389,1,81,-8,Bobrovsky
20190202394,1,86,5,Murray
20190202404,0,62,-1,Price
20190202405,0,70,-18,Hart
20190202425,0,21,1,Campbell
20190202428,0,74,-39,Nilsson
20190202439,0,74,24,Crawford
20190202444,0,34,37,Rinne
20190202447,1,37,-23,Rinne
20190202449,0,63,8,Rinne
20190202466,1,72,19,Kuemper
20190202468,0,40,31,Kuemper
20190202469,0,79,-10,Kuemper
20190202477,1,72,1,Stalock
20190202485,0,70,-3,Rask
20190202486,0,80,0,Rask
20190202496,0,-67,-18,Vasilevskiy
20190202499,0,-37,-24,Vasilevskiy
20190202508,0,78,-15,Hellebuyck
20190202518,0,35,4,Schneider
20190202539,0,45,-10,Elliott
20190202544,0,-42,-37,Quick
20190202547,0,39,24,Quick
20190202556,0,31,-3,Reimer
20190202564,0,43,-29,McElhinney
20190202567,0,53,22,McElhinney
20190202585,1,75,1,Fleury
20190202587,0,6,-10,Fleury
20190202607,0,65,-1,Korpisalo
20190202614,0,28,0,Rittich
20190202616,0,83,-13,Rittich
20190202619,0,73,-14,Binnington
20190202626,0,75,-14,Jones
20190202639,0,-92,25,Lundqvist
20190202656,0,40,-4,Markstrom
20190202677,0,17,27,Halak
20190202678,0,35,-37,Halak
20190202699,0,81,-7,Gibson
20190202707,0,77,-20,Raanta
20190202714,0,7,1,Mrazek
20190202715,1,73,-16,Nilsson
20190202718,0,65,-2,Mrazek
20190202739,0,31,-36,Merzlikins
20190202754,0,64,-30,Kuemper
20190202759,0,54,-31,Binnington
20190202779,0,64,14,Demko
20190202809,0,89,5,Smith
20190202814,0,85,-13,Anderson
20190202838,0,7,0,Hart
20190202845,0,81,2,Bishop
20190202846,0,83,-1,Bishop
20190202849,0,65,-34,Talbot
20190202854,0,88,-9,Fleury
20190202858,0,73,-3,Crawford
20190202865,0,65,-29,Hutton
20190202869,0,55,32,Hutton
20190202879,0,40,5,Georgiev
20190202909,0,-68,16,Werner
20190202916,0,77,-2,Khudobin
20190202919,0,38,-10,Markstrom
20190202929,0,31,33,Gibson
20190202934,0,66,4,Bernier
20190202965,0,83,12,Price
20190202968,0,58,21,Price
20190202987,0,76,-1,Nilsson
20190202988,0,82,12,Nilsson
20190202995,0,73,-1,Reimer
20190203004,0,38,-13,Vasilevskiy
20190203029,0,38,2,Kuemper
20190203038,0,52,29,Halak
20190203044,0,37,36,Ullmark
20190203049,0,53,-29,Anderson
20190203054,0,47,23,Kinkaid
20190203055,0,53,-25,Kinkaid
20190203056,0,81,2,Kinkaid
20190203066,0,34,-11,Bobrovsky
20190203084,0,72,36,Jarry
20190203089,0,36,8,Jarry
20190203105,0,44,12,Lehner
20190203107,0,76,-26,Lehner
20190203116,0,75,36,Bibeau
20190203136,0,11,35,Howard
20190203138,0,73,3,Jones
20190203139,0,54,30,Howard
20190203158,0,75,-7,Talbot
20190203164,0,77,-14,Gibson
20190203167,0,34,-28,Gibson
20190203168,0,81,-13,Gibson
20190203169,1,70,21,Gibson
20190203176,0,68,-14,Campbell
20190203186,0,89,-29,Ullmark
20190203187,0,88,-31,Ullmark
20190203189,0,34,-29,Ullmark
20190203194,0,41,-15,Hart
20190203195,0,68,-3,Hart
20190203199,0,40,33,Hart
20190203225,0,73,2,Korpisalo
20190203228,0,73,-2,Price
20190203236,0,49,-22,Nilsson
20190203237,0,70,-21,Bernier
20190203256,1,82,-6,Saros
20190203264,0,-20,-34,Lehner
20190203269,0,62,-31,Lehner
20190203278,0,67,-13,Markstrom
20190203279,0,45,4,Bishop
20190203289,0,64,18,Grubauer
20190203296,0,63,-22,Fleury
20190203305,0,68,0,Koskinen
20190203355,0,69,22,Greiss
20190203374,0,43,-27,Howard
20190203375,0,40,35,Howard
20190203376,0,55,-38,Korpisalo
20190203386,0,50,21,Binnington
20190203388,0,49,27,Binnington
20190203396,0,67,-26,Markstrom
20190203406,0,34,-12,Stalock
20190203416,0,68,36,Crawford
20190203419,0,55,-3,Crawford
20190203437,0,77,-1,Kuemper
20190203446,0,74,-27,Dell
20190203457,1,68,20,Smith
20190203475,0,43,37,Lundqvist
20190203476,0,81,-26,Lundqvist
20190203477,1,65,24,Lundqvist
20190203485,0,36,-30,Markstrom
20190203494,0,45,32,Rittich
20190203505,0,79,-5,Quick
20190203516,0,81,-3,Rask
20190203547,0,1,-20,Bernier
20190203565,0,62,35,Brossoit
20190203574,1,37,5,Andersen
20190203584,0,62,-31,Binnington
20190203585,1,57,19,Binnington
20190203587,0,55,-1,Binnington
20190203599,0,62,18,Khudobin
20190203605,0,34,36,Fleury
20190203609,0,23,34,Smith
20190203619,0,79,1,Varlamov
20190203626,0,35,31,Ullmark
20190203634,0,64,-22,Howard
20190203646,0,81,-9,Koskinen
20190203655,1,61,-13,Hutton
20190203658,0,30,3,Hutton
20190203659,0,74,-14,Vasilevskiy
20190203666,0,80,-2,Lundqvist
20190203668,0,63,33,Stalock
20190203675,0,30,31,Hart
20190203695,0,84,-5,Korpisalo
20190203699,0,37,30,Anderson
20190203704,0,53,-1,Saros
20190203745,0,15,31,Halak
20190203748,0,60,-1,Halak
20190203766,0,63,20,Crawford
20190203769,0,71,-1,Crawford
20190203774,0,62,-37,Ullmark
20190203777,0,67,-37,Rittich
20190203794,0,43,35,Howard
20190203795,0,-18,11,Andersen
20190203797,0,34,9,Howard
20190203798,1,84,-13,Howard
20190203806,0,64,12,Binnington
20190203808,0,61,14,Binnington
20190203829,0,79,-15,Demko
20190203834,0,87,-9,Bobrovsky
20190203837,0,63,38,Holtby
20190203846,0,69,-15,Korpisalo
20190203856,0,79,16,Saros
20190203877,0,77,-13,Grubauer
20190203879,0,78,35,Grubauer
20190203886,0,32,-17,Quick
20190203894,0,66,-35,Dell
20190203904,0,64,-26,Blackwood
20190203907,0,33,-39,Blackwood
20190203914,0,48,22,Halak
20190203917,0,42,-21,Lundqvist
20190203924,0,33,-34,Hutchinson
20190203925,0,75,-5,Hutchinson
20190203936,0,90,-15,Hart
20190203966,0,77,-28,Gibson
20190203984,0,-7,40,Holtby
20190203996,0,40,3,Subban
20190204004,0,83,3,Jarry
20190204015,0,62,-7,Rinne
20190204026,0,63,14,Bishop
20190204027,0,-91,-14,Bishop
20190204037,0,3,-39,Blackwood
20190204044,1,66,-30,Elliott
20190204048,0,62,1,Elliott
20190204064,0,80,8,Bernier
20190204068,0,72,-2,Samsonov
20190204069,0,65,7,Samsonov
20190204074,0,76,-13,McElhinney
20190204075,0,78,27,McElhinney
20190204087,0,83,23,Driedger
20190204095,1,70,-5,Merzlikins
20190204097,0,41,-2,Greiss
20190204098,0,68,-3,Greiss
20190204118,0,66,8,Binnington
20190204129,1,86,17,Jones
20190204156,0,48,-29,Campbell
20190204165,0,85,10,Stalock
